Mouse_ID,Cohort,Drug,Day1,Day2,Day3,Day4,Day5,Day6
fd_01_1,cohort1,MK-801,A,B,C,,,
fd_01_2,cohort1,MK-801,B,C,A,,,
fd_01_3,cohort1,MK-801,C,A,B,,,
fd_01_4,cohort1,MK-801,C,B,A,,,
fd_01_6,cohort1,MK-801,A,C,B,,,
fd_01_7,cohort2,MK-801,C,B,A,,,
fd_01_8,cohort2,MK-801,A,C,B,,,
fd_01_9,cohort1,MK-801,B,C,A,,,
fd_01_10,cohort1,MK-801,C,A,B,,,
fd_01_11,cohort1,MK-801,C,B,A,,,
fd_01_12,cohort1,MK-801,A,C,B,,,
fd_01_1,cohort1,Quinpirole,A,B,D,C,,
fd_01_2,cohort1,Quinpirole,B,C,A,D,,
fd_01_3,cohort1,Quinpirole,C,D,B,A,,
fd_01_4,cohort1,Quinpirole,D,A,C,B,,
fd_01_6,cohort1,Quinpirole,A,B,D,C,,
fd_01_7,cohort2,Quinpirole,B,C,A,D,,
fd_01_8,cohort2,Quinpirole,C,D,B,A,,
fd_01_9,cohort1,Quinpirole,D,A,C,B,,
fd_01_10,cohort1,Quinpirole,A,B,D,C,,
fd_01_11,cohort1,Quinpirole,B,C,A,D,,
fd_01_12,cohort1,Quinpirole,C,D,B,A,,
fd_01_1,cohort1,Aripiprazole,A,B,D,C,E,F
fd_01_2,cohort1,Aripiprazole,B,C,A,D,F,E
fd_01_3,cohort1,Aripiprazole,C,D,B,A,E,F
fd_01_4,cohort1,Aripiprazole,D,A,C,B,F,E
fd_01_6,cohort1,Aripiprazole,A,B,D,C,E,F
fd_01_7,cohort2,Aripiprazole,B,C,A,D,E,F
fd_01_8,cohort2,Aripiprazole,C,D,B,A,F,E
fd_01_9,cohort1,Aripiprazole,D,A,C,B,F,E
fd_01_10,cohort1,Aripiprazole,A,B,D,C,E,F
fd_01_11,cohort1,Aripiprazole,B,C,A,D,E,F
fd_01_12,cohort1,Aripiprazole,C,D,B,A,F,E
